bedrooms,rent,sqft,date,longitude,latitude
1.0,775.0,720.0,2014-05-12,-119.798162,36.851982
2.0,1075.0,1200.0,2014-05-12,-119.817619,36.840536
3.0,1125.0,1310.0,2014-05-12,-119.861784,36.807017
2.0,1295.0,1156.0,2014-05-12,-119.731922,36.81368300000001
2.0,745.0,998.0,2014-05-12,-119.851262,36.793622
1.0,945.0,727.0,2014-05-12,-119.732437,36.814232
2.0,1010.0,1097.0,2014-05-12,-119.796896,36.852342
3.0,1125.0,1310.0,2014-05-12,-119.862385,36.811415
1.0,741.0,620.0,2014-05-12,-119.756578,36.866349
1.0,635.0,693.0,2014-05-12,-119.718075,36.807178
2.0,735.0,896.0,2014-05-12,-119.723075,36.815549
2.0,820.0,,2014-05-12,-119.754277,36.806094
1.0,850.0,794.0,2014-05-12,-119.774674,36.846602
2.0,900.0,1140.0,2014-05-12,-119.774674,36.846602
1.0,890.0,671.0,2014-05-12,-119.793672,36.86347
2.0,675.0,863.0,2014-05-12,-119.698879,36.738285
,,,2014-05-12,-119.71982,36.75621500000001
2.0,820.0,852.0,2014-05-12,-119.754277,36.806094
2.0,1475.0,1220.0,2014-05-12,-119.7655,36.8579
2.0,775.0,860.0,2014-05-12,-119.7106,36.8149
,609.0,400.0,2014-05-12,-119.8286,36.7863
2.0,675.0,863.0,2014-05-12,-119.698879,36.738285
1.0,575.0,675.0,2014-05-12,-119.698879,36.738285
1.0,575.0,675.0,2014-05-12,-119.698879,36.738285
2.0,675.0,863.0,2014-05-12,-119.698879,36.738285
,,,2014-05-12,-119.790578,36.783749
2.0,750.0,965.0,2014-05-12,-119.8801,36.7918
1.0,575.0,675.0,2014-05-12,-119.698879,36.738285
2.0,675.0,863.0,2014-05-12,-119.698879,36.738285
1.0,575.0,675.0,2014-05-12,-119.698879,36.738285
3.0,1200.0,1700.0,2014-05-12,-119.766769,36.813957
3.0,1200.0,1594.0,2014-05-12,-119.762,36.8236
3.0,1200.0,1564.0,2014-05-12,-119.762,36.8236
3.0,1175.0,1679.0,2014-05-12,-119.767478,36.827149
,625.0,,2014-05-12,-120.0335,37.0402
2.0,575.0,900.0,2014-05-12,-119.75396,36.783136
3.0,1200.0,1300.0,2014-05-12,-119.7106,36.8149
,,,2014-05-12,-119.792859,36.793901
2.0,595.0,850.0,2014-05-12,-119.753476,36.783124
3.0,1200.0,1615.0,2014-05-12,-119.762,36.8236
1.0,699.0,634.0,2014-05-12,-119.8319,36.8303
3.0,1175.0,1615.0,2014-05-12,-119.767478,36.827149
3.0,1050.0,1578.0,2014-05-12,-119.746371,36.715368
3.0,1200.0,1296.0,2014-05-12,-119.6802,36.8253
2.0,700.0,1015.0,2014-05-12,-119.792859,36.793901
3.0,1095.0,1372.0,2014-05-12,-119.8113,36.7581
1.0,945.0,727.0,2014-05-12,-119.731407,36.814782
3.0,1200.0,1700.0,2014-05-12,-119.766769,36.814232
2.0,620.0,850.0,2014-05-12,-119.753476,36.783124
2.0,950.0,1110.0,2014-05-12,-119.70405,36.832724
,,,2014-05-12,-120.0335,37.0402
2.0,595.0,731.0,2014-05-12,-119.692572,36.817435
5.0,1850.0,2672.0,2014-05-12,-119.692655,36.712742
1.0,,,2014-05-12,-119.758943,36.760849
3.0,1095.0,1443.0,2014-05-12,-119.796563,36.853613
2.0,895.0,1100.0,2014-05-12,-119.7604,36.7949
3.0,750.0,1061.0,2014-05-12,-119.85011000000002,36.771807
2.0,639.0,884.0,2014-05-12,-119.7061,36.7528
2.0,595.0,600.0,2014-05-12,-119.756669,36.799216
1.0,675.0,,2014-05-12,-119.79438,36.728326
2.0,520.0,,2014-05-12,-119.9987,36.6486
,,,2014-05-12,-119.719734,36.756146
2.0,1295.0,1156.0,2014-05-12,-119.732094,36.813545
1.0,799.0,,2014-05-12,-119.762,36.8236
1.0,650.0,700.0,2014-05-12,-119.797501,36.754588
3.0,995.0,1400.0,2014-05-12,-119.775037,36.798865
2.0,1095.0,967.0,2014-05-12,-119.73175,36.813408
2.0,745.0,907.0,2014-05-12,-119.762,36.8236
,975.0,,2014-05-12,-119.884783,36.806086
3.0,900.0,,2014-05-12,-119.824851,36.766647
2.0,815.0,1055.0,2014-05-12,-119.762,36.8236
2.0,1050.0,1110.0,2014-05-12,-119.70405,36.832724
2.0,924.0,1161.0,2014-05-12,-119.8319,36.8303
2.0,750.0,,2014-05-12,-119.709306,36.736098
3.0,900.0,,2014-05-12,-119.824851,36.766647
3.0,1095.0,1199.0,2014-05-12,-119.821973,36.778344
2.0,715.0,828.0,2014-05-12,-119.762,36.8236
,,,2014-05-12,-120.098462,37.010158
1.0,699.0,634.0,2014-05-12,-119.853662,36.80814
3.0,1195.0,1600.0,2014-05-12,-119.887103,36.82449
2.0,1474.0,1211.0,2014-05-12,-119.763336,36.871759
4.0,750.0,1317.0,2014-05-12,-119.9987,36.6486
2.0,695.0,843.0,2014-05-12,-119.8286,36.7863
3.0,910.0,,2014-05-12,-119.762,36.8236
2.0,795.0,879.0,2014-05-12,-119.61113799999998,36.574145
4.0,1095.0,1188.0,2014-05-12,-119.7604,36.7949
2.0,1435.0,1271.0,2014-05-12,-119.74911000000002,36.841456
3.0,950.0,1345.0,2014-05-12,-119.7594,36.7684
2.0,1175.0,1150.0,2014-05-12,-120.0335,37.0402
2.0,750.0,879.0,2014-05-12,-119.7594,36.7684
2.0,829.0,843.0,2014-05-12,-119.853662,36.80814
1.0,1102.0,846.0,2014-05-12,-119.764716,36.868155
4.0,1295.0,1616.0,2014-05-12,-119.8801,36.7918
3.0,1095.0,1152.0,2014-05-12,-119.8286,36.7863
2.0,1150.0,1209.0,2014-05-12,-119.8113,36.7581
1.0,625.0,508.0,2014-05-12,-119.762,36.8236
2.0,595.0,,2014-05-12,-119.816579,36.753748
2.0,790.0,820.0,2014-05-12,-119.779843,36.851808
2.0,905.0,969.0,2014-05-12,-119.8319,36.8303
2.0,790.0,820.0,2014-05-12,-119.779843,36.851808
2.0,855.0,950.0,2014-05-12,-119.8319,36.8303
3.0,1495.0,1750.0,2014-05-12,-119.7655,36.8579
2.0,595.0,642.0,2014-05-12,-120.0335,37.0402
3.0,1095.0,1206.0,2014-05-12,-119.8319,36.8303
2.0,595.0,600.0,2014-05-12,-120.08200000000001,36.9403
2.0,595.0,800.0,2014-05-12,-119.8801,36.7918
3.0,830.0,,2014-05-12,-119.7843,36.7377
4.0,995.0,1432.0,2014-05-12,-119.762,36.8236
1.0,565.0,550.0,2014-05-12,-119.7594,36.7684
3.0,1500.0,1791.0,2014-05-12,-119.714305,36.826342
2.0,850.0,1327.0,2014-05-12,-119.7061,36.7528
2.0,995.0,1500.0,2014-05-12,-119.8016,36.7991
3.0,1195.0,1383.0,2014-05-12,-119.6802,36.8253
3.0,1895.0,3000.0,2014-05-12,-119.6807,37.0422
2.0,750.0,1036.0,2014-05-12,-119.7106,36.8149
2.0,795.0,776.0,2014-05-12,-119.9532,36.7863
3.0,900.0,900.0,2014-05-12,-119.754277,36.806749
2.0,595.0,,2014-05-12,-119.786368,36.798488
2.0,1475.0,1220.0,2014-05-12,-119.7655,36.8579
3.0,1495.0,1560.0,2014-05-12,-119.66383700000002,36.825408
2.0,950.0,1475.0,2014-05-12,-119.80438,36.808943
3.0,1295.0,1380.0,2014-05-12,-119.746557,36.847724
1.0,525.0,,2014-05-12,-119.76591,36.772149
1.0,525.0,650.0,2014-05-12,-119.753153,36.783116
2.0,595.0,743.0,2014-05-12,-119.7061,36.7528
2.0,1150.0,1263.0,2014-05-12,-119.775759,36.851728
2.0,895.0,920.0,2014-05-12,-119.8016,36.7991
