bedrooms,rent,sqft,date,longitude,latitude
3.0,1600.0,1225.0,2014-05-11,-117.698939,34.086240000000004
1.0,815.0,700.0,2014-05-11,-117.31465,34.176497
1.0,1485.0,682.0,2014-05-11,-117.5941,34.107
2.0,1603.0,885.0,2014-05-11,-117.735927,33.980685
1.0,865.0,690.0,2014-05-11,-117.28708600000002,33.946699
2.0,1312.0,885.0,2014-05-11,-117.227573,34.063213
1.0,1110.0,681.0,2014-05-11,-117.322986,33.91077
1.0,1110.0,681.0,2014-05-11,-117.322986,33.91077
3.0,1290.0,1207.0,2014-05-11,-117.221821,33.91716
1.0,935.0,550.0,2014-05-11,-117.6043,33.8419
1.0,920.0,,2014-05-11,-117.462126,33.904687
6.0,315000.0,2357.0,2014-05-11,-117.4551,34.0794
3.0,298500.0,1740.0,2014-05-11,-117.4378,34.1173
4.0,1850.0,,2014-05-11,-117.321603,33.98488
3.0,2835.0,1987.0,2014-05-11,-117.567705,34.109808
3.0,289000.0,1470.0,2014-05-11,-117.4706,34.0498
2.0,830.0,801.0,2014-05-11,-117.389281,34.102033
3.0,2350.0,3051.0,2014-05-11,-117.4378,34.1173
4.0,2200.0,2708.0,2014-05-11,-117.4378,34.1173
3.0,2100.0,2494.0,2014-05-11,-117.4378,34.1173
4.0,2200.0,2601.0,2014-05-11,-117.4378,34.1173
4.0,2000.0,2182.0,2014-05-11,-117.4378,34.1173
1.0,1070.0,776.0,2014-05-11,-117.328513,33.957260999999995
2.0,1145.0,,2014-05-11,-117.462126,33.904687
1.0,1055.0,776.0,2014-05-11,-117.328727,33.957083000000004
4.0,2100.0,2382.0,2014-05-11,-117.4378,34.1173
4.0,2195.0,2530.0,2014-05-11,-117.4378,34.1173
4.0,2000.0,1977.0,2014-05-11,-117.5941,34.107
4.0,2300.0,2378.0,2014-05-11,-117.5182,34.1705
4.0,2450.0,2009.0,2014-05-11,-117.5793,34.1449
2.0,1545.0,1151.0,2014-05-11,-117.558474,34.077216
4.0,2300.0,2330.0,2014-05-11,-117.5182,34.1705
3.0,2100.0,2031.0,2014-05-11,-117.5941,34.107
4.0,3250.0,2862.0,2014-05-11,-117.5999,34.1376
4.0,2600.0,2650.0,2014-05-11,-117.5182,34.1705
4.0,2500.0,2530.0,2014-05-11,-117.5941,34.107
1.0,1040.0,741.0,2014-05-11,-117.175329,33.932567
4.0,2900.0,2769.0,2014-05-11,-117.5182,34.1705
3.0,199900.0,1150.0,2014-05-11,-117.4551,34.0794
3.0,220000.0,1083.0,2014-05-11,-117.4551,34.0794
3.0,2300.0,2987.0,2014-05-11,-117.4378,34.1173
