"","group","year","var","estimate","MOE","growth_per_base2013","statsig_90per_value","statsig_90per","statsig_95per_value","statsig_95per"
"2892","Los Angeles County",2018,"heating_utilitygas_per",65.9038767324368,0.154835710613034,-2.67294239844663,-13.5457111931811,"nonsignificant",-16.1395707833648,"nonsignificant"
"2893","Los Angeles County",2013,"heating_other_fossil_per",1.22075308098142,0.0402358083940838,0,NA,NA,NA,NA
"2894","Los Angeles County",2014,"heating_other_fossil_per",1.27319623080622,0.0439589011340976,4.2959670257507,3.23702214166499,"significant",3.85687744538808,"significant"
"2895","Los Angeles County",2015,"heating_other_fossil_per",1.28063488697297,0.0409767091272192,4.9053168019374,2.71209406725938,"significant",3.231431229075,"significant"
"2896","Los Angeles County",2016,"heating_other_fossil_per",1.32873429427654,0.0457390269250899,8.84545900210321,3.76438678218904,"significant",4.48522680431035,"significant"
"2897","Los Angeles County",2017,"heating_other_fossil_per",1.38137374446088,0.0477235698958951,13.1575062952395,4.73246321139042,"significant",5.63867957101837,"significant"
"2898","Los Angeles County",2018,"heating_other_fossil_per",1.40064952486443,0.0451162213743244,14.7365136066975,4.89531692552214,"significant",5.83271803891999,"significant"
"2899","Los Angeles County",2013,"heating_other_nonfossil_per",0.307362934983251,0.0191853457230423,0,NA,NA,NA,NA
"2900","Los Angeles County",2014,"heating_other_nonfossil_per",0.318036905481171,0.017648519048603,3.47275786473786,1.50614548514661,"nonsignificant",1.79455632272787,"nonsignificant"
"2901","Los Angeles County",2015,"heating_other_nonfossil_per",0.324265285226883,0.0205804446124558,5.49915045695178,1.56250451275884,"nonsignificant",1.86170750456373,"nonsignificant"
"2902","Los Angeles County",2016,"heating_other_nonfossil_per",0.362235267052527,0.0199503550529473,17.8526184597586,4.21019896446776,"significant",5.01640727681265,"significant"
"2903","Los Angeles County",2017,"heating_other_nonfossil_per",0.403344503122422,0.0204039518999962,31.2274374086132,6.30289838071107,"significant",7.5098363685068,"significant"
"2904","Los Angeles County",2018,"heating_other_nonfossil_per",0.450196893084892,0.0240624163217195,46.4707815564763,7.6349226896609,"significant",9.09692916214916,"significant"
"2905","Los Angeles County",2013,"heating_no_per",5.6192098583976,0.079784125209553,0,NA,NA,NA,NA
"2906","Los Angeles County",2014,"heating_no_per",5.79630895841988,0.0754748020090259,3.15167264589027,5.93141695108487,"significant",7.0672201970373,"significant"
"2907","Los Angeles County",2015,"heating_no_per",5.9297550863926,0.0689859390670755,5.52649279561801,7.65806802700749,"significant",9.12450658537063,"significant"
"2908","Los Angeles County",2016,"heating_no_per",6.10275622401424,0.0867578276926822,8.60523770782484,8.71243064879964,"significant",10.3807684326123,"significant"
"2909","Los Angeles County",2017,"heating_no_per",6.15043466280327,0.0964143756755664,9.45372779790002,7.80703637367796,"significant",9.30200078565885,"significant"
"2910","Los Angeles County",2018,"heating_no_per",6.22263210317627,0.0763320854185439,10.7385604023472,8.98975940995078,"significant",10.7112027012179,"significant"
"2911","Los Angeles County",2013,"hlth_ins_per",77.8240521049512,0.158988841617135,0,NA,NA,NA,NA
"2912","Los Angeles County",2014,"hlth_ins_per",79.1496912540823,0.14833115046828,1.7033797563552,22.4253593904993,"significant",26.7195771461268,"significant"
"2913","Los Angeles County",2015,"hlth_ins_per",81.5978697878214,0.135228779412014,4.84916626775088,47.0274660518557,"significant",56.032725508594,"significant"
"2914","Los Angeles County",2016,"hlth_ins_per",84.1275814728928,0.137788816485108,8.09971878544802,63.6286349179481,"significant",75.8128416043637,"significant"
"2915","Los Angeles County",2017,"hlth_ins_per",86.6849355025351,0.126954924797269,11.3857903282064,80.0984223882277,"significant",95.4364181646968,"significant"
"2916","Los Angeles County",2018,"hlth_ins_per",89.1664182564092,0.120769767794563,14.5743710905235,93.4513817550107,"significant",111.34632719746,"significant"
"2917","Los Angeles County",2013,"hlth_ins_prv_per",54.3135360044317,0.214742017907821,0,NA,NA,NA,NA
"2918","Los Angeles County",2014,"hlth_ins_prv_per",54.1491838219946,0.213565810129816,-0.302598936706397,-1.99610658900279,"nonsignificant",-2.37833976562034,"nonsignificant"
"2919","Los Angeles County",2015,"hlth_ins_prv_per",54.9628547009919,0.206619779496413,1.19550068790809,5.66725800000696,"significant",6.75247761702957,"significant"
"2920","Los Angeles County",2016,"hlth_ins_prv_per",55.7904593313056,0.210345767119568,2.71925460119818,10.4342532938623,"significant",12.4323017969423,"significant"
"2921","Los Angeles County",2017,"hlth_ins_prv_per",56.8236871382826,0.235012844251119,4.62159402335012,14.5017111065552,"significant",17.2786345099381,"significant"
"2922","Los Angeles County",2018,"hlth_ins_prv_per",57.8698861965316,0.23271038032624,6.54781561599982,18.4751805917967,"significant",22.0129811306514,"significant"
"2923","Los Angeles County",2013,"hlth_ins_pub_per",29.6614318678476,0.113431457097884,0,NA,NA,NA,NA
"2924","Los Angeles County",2014,"hlth_ins_pub_per",31.1164323878805,0.112424581781213,4.90536170511052,33.5114352246567,"significant",39.9285185655484,"significant"
"2925","Los Angeles County",2015,"hlth_ins_pub_per",32.865243716496,0.102776978058199,10.8012717084007,54.4400598889432,"significant",64.8647522081026,"significant"
"2926","Los Angeles County",2016,"hlth_ins_pub_per",34.7205907837802,0.154891207624029,17.0563543205634,55.9632366093864,"significant",66.679601066503,"significant"
"2927","Los Angeles County",2017,"hlth_ins_pub_per",36.3657356121959,0.143521583854612,22.6027650122165,67.4028506877252,"significant",80.3097795428215,"significant"
